,IR,QC,QD,Tavg,Tmin,Tmax,chargetime,cycle
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.01686798,1.0797698,1.0799223,31.82541973754445,29.983988,34.703838,13.34142166666667,2.0
2,0.016831938,1.0811372,1.0813154,31.875471250889714,30.001017,34.788918,13.341461666666662,3.0
3,0.01671898,1.0819083,1.082234,31.937384918943547,30.300148,35.098438,13.425761666666677,4.0
4,0.016715366,1.0825093,1.0827312,31.96477769954336,30.033159,34.978291,13.341223333333316,5.0
5,0.016664039,1.0827514,1.0830303,31.969830121402822,30.283377,35.00581,13.341343333333317,6.0
6,0.016674763,1.0831335,1.0833386,31.91319428493648,29.985632,34.839478,13.425721666666625,7.0
7,0.016659655,1.0834411,1.083684,31.879958490178563,29.98287,34.696198,13.42558333333333,8.0
8,0.016700698,1.0835205,1.0837147,31.88018607636364,30.087589,34.832886,13.341390000000017,9.0
9,0.01668706,1.0835621,1.0837817,31.854205515178638,30.178619,34.746063,13.341335000000011,10.0
10,0.016707838,1.0837057,1.0839587,31.775693675770917,29.904594,34.843388,13.341424999999921,11.0
11,0.0,1.0978745,1.0880535,31.796817870285192,29.829704,35.059292,13.425585000000016,12.0
12,0.016659031,1.0818303,1.0858102,31.745968632876682,29.971907,34.901703,13.341676666666656,13.0
13,0.016665382,1.0834396,1.0857648,31.699263770073024,29.782892,34.793388,13.425781666666687,14.0
14,0.016766557,1.0844297,1.0855526,31.361376509009038,29.533159,34.174305,13.425508333333225,15.0
15,0.016692786,1.0847561,1.0855418,31.369761572470388,29.520693,34.141102,13.341265000000082,16.0
16,0.016686745,1.0849588,1.085543,31.32124565864525,29.358561,34.208309,13.425613333333361,17.0
17,0.016717322,1.0851207,1.0856423,31.393496388839697,29.41783,34.253521,13.425989999999972,18.0
18,0.016735747,1.0851202,1.0855848,31.411013303220056,29.273434,34.734135,13.341556666666536,19.0
19,0.016728617,1.0851884,1.0855571,31.49621477807726,29.269444,34.655045,13.34140833333319,20.0
20,0.016692486,1.0852153,1.0855353,31.41562567324951,29.38632,34.431824,13.426306666666642,21.0
21,0.016717544,1.0852674,1.0855669,31.492255654794533,29.442839,34.456581,13.426121666666585,22.0
